,filtered_midtrain_alignment_dpo,unfiltered_e2e_misalignment_dpo,unfiltered_e2e_alignment_dpo,filtered_e2e_alignment_dpo,baseline_filtered_dpo,filtered_cpt_alignment_dpo,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,unfiltered_cpt_alignment_dpo,unfiltered_cpt_misalignment_dpo
filtered_midtrain_alignment_dpo,1.0,0.5919279884973507,0.5407667965093231,0.5434466469027588,0.6348612664629795,0.6603182321908091,0.5878308664438422,0.5466463522384757,0.5173157962032056,0.4468301720188559
unfiltered_e2e_misalignment_dpo,0.5919279884973507,0.9999999999999998,0.5440253833947772,0.5675372049626499,0.47883942787069317,0.5131939378055819,0.5850148854437477,0.6233836965376434,0.610626563907204,0.5260621628821356
unfiltered_e2e_alignment_dpo,0.5407667965093231,0.5440253833947772,0.9999999999999999,0.4671698535441532,0.6256150496041071,0.6197829475050711,0.6033007001814892,0.52728468386952,0.6277453486889011,0.5985027058698973
filtered_e2e_alignment_dpo,0.5434466469027588,0.5675372049626499,0.4671698535441532,0.9999999999999998,0.6670087540050056,0.6581807158695236,0.7309252364239923,0.7944790021378088,0.6663903039877603,0.7397106930225912
baseline_filtered_dpo,0.6348612664629795,0.47883942787069317,0.6256150496041071,0.6670087540050056,1.0,0.8428152455264086,0.7519672849883411,0.7217225763584975,0.7387954218321308,0.7878087206510995
filtered_cpt_alignment_dpo,0.6603182321908091,0.5131939378055819,0.6197829475050711,0.6581807158695236,0.8428152455264086,0.9999999999999996,0.7237506362125636,0.725417912461317,0.7401837943918508,0.7719763039384842
unfiltered_midtrain_alignment_dpo,0.5878308664438422,0.5850148854437477,0.6033007001814892,0.7309252364239923,0.7519672849883411,0.7237506362125636,1.0,0.8294187658169149,0.8119686729400049,0.7949468863173301
baseline_unfiltered_dpo,0.5466463522384757,0.6233836965376434,0.52728468386952,0.7944790021378088,0.7217225763584975,0.725417912461317,0.8294187658169149,0.9999999999999998,0.8477692219956595,0.8761998431949545
unfiltered_cpt_alignment_dpo,0.5173157962032056,0.610626563907204,0.6277453486889011,0.6663903039877603,0.7387954218321308,0.7401837943918508,0.8119686729400049,0.8477692219956595,1.0,0.8773761683963242
unfiltered_cpt_misalignment_dpo,0.4468301720188559,0.5260621628821356,0.5985027058698973,0.7397106930225912,0.7878087206510995,0.7719763039384842,0.7949468863173301,0.8761998431949545,0.8773761683963242,1.0
